boardgame,release_year,min_players,max_players,min_playtime,max_playtime,minimum_age,num_ratings,complexity,wishlisted,total_plays,fans,amazon_price,comments,avg_rating
Paint the Roses,2022,2,5,50,70,11,2810,2.46,1781,13971,340,39.99,646,7.19
Paladins of the West Kingdom,2019,1,4,90,120,12,19579,3.71,6224,59250,1617,52.44,2774,7.964
Paleo,2020,2,4,45,60,10,14763,2.65,6591,76336,1393,51.41,1944,7.666
Palm Island,2018,1,2,15,15,10,6769,1.75,1809,59512,707,24.99,1436,7.066
Pan Am,2020,2,4,60,60,12,7547,2.41,1801,18175,482,16,1289,7.533
Pandemic,2008,2,4,45,45,8,131615,2.4,11321,441709,8376,42.89,20214,7.522
Pandemic Legacy: Season 0,2020,2,4,45,60,14,8931,3.17,4083,65426,580,71.99,1267,8.355
Pandemic Legacy: Season 1,2015,2,4,60,60,13,56071,2.83,14478,301410,4221,76.97,8384,8.512
Pandemic Legacy: Season 2,2017,2,4,60,60,14,17815,3.25,4775,128707,809,79.99,2774,8.019
Pandemic: The Cure,2014,2,5,30,30,8,10982,2.06,2502,56966,439,49.99,1997,7.236
Paper Dungeons: A Dungeon Scrawler Game,2020,1,8,30,30,10,3303,2.11,1187,15130,297,51.99,436,7.127
Paper Tales,2017,2,5,30,30,12,5453,2.18,1812,20326,227,31,980,7.018
Patchwork,2014,2,2,15,30,8,71267,1.6,9870,415362,2806,32.08,9479,7.585
Path of Civilization,2023,1,5,60,120,14,2001,2.78,1073,9078,199,74.44,430,7.232
Path of Light and Shadow,2017,2,4,60,120,14,1761,3.13,711,4678,219,51.06,433,7.413
Pathfinder Adventure Card Game: Skull & Shackles  Base Set,2014,1,4,90,90,13,2769,2.93,442,19671,320,36.99,639,7.28
Pavlov's House,2018,1,3,60,75,12,1609,2.81,1539,4657,316,96.24,477,7.864
Pax Pamir: Second Edition,2019,1,5,45,120,13,16378,3.85,6638,66228,1903,71.84,2779,8.141
Pendragon: The Fall of Roman Britain,2017,1,4,60,360,16,1150,4.46,1151,1938,252,139.95,433,7.869
Perudo,1800,2,10,15,30,8,16193,1.25,1554,118429,369,32.99,4270,6.926
Phantom Ink,2022,2,8,10,15,13,2365,1.18,1396,19663,165,19.56,398,7.406
Photosynthesis,2017,2,4,30,60,10,25229,2.26,6706,46013,1133,39.99,3887,6.944
Pictomania (Second Edition),2018,3,6,20,40,8,2572,1.47,773,9979,83,34.95,465,7.566
Pictures,2019,3,5,20,30,8,3669,1.04,884,14502,138,34.15,592,7.226
Pioneer Days,2017,2,4,45,75,14,2317,2.51,833,6674,140,47.95,472,7.206
Pirates of Maracaibo,2023,1,4,40,100,12,3110,2.83,2275,15884,473,49.95,523,7.935
Pixies,2024,2,5,30,30,8,3267,1.21,644,41612,218,17.99,431,7.096
Planet,2018,2,4,30,45,8,5998,1.59,1450,17477,198,26.99,1065,6.643
Planet Unknown,2022,1,6,60,80,10,12251,2.25,5449,81894,1158,55.28,1866,7.78
Planted: A Game of Nature & Nurture,2022,2,5,20,30,10,2930,1.68,1937,10489,369,29.99,554,7.256
Point City,2023,1,4,15,30,10,4247,1.66,1160,23362,256,24.93,729,7.163
Point Salad,2019,2,6,15,30,10,21886,1.15,2931,169406,672,23.67,3119,7.112
Poker,1810,2,10,60,60,12,11730,2.43,130,50789,282,34.95,2415,6.709
Polis,2020,2,2,60,120,12,982,3.82,886,1934,215,35,240,8.085
Polis: Fight for the Hegemony,2012,2,2,90,120,12,2423,3.69,841,6228,303,117.65,764,7.505
Port Royal,2014,2,5,20,50,8,18571,1.62,2094,143343,619,23.99,2919,7.11
Potion Explosion,2015,2,4,30,45,8,21143,1.78,3982,154403,824,39.94,3051,7.121
Power Grid,2004,2,6,120,120,12,68031,3.25,12104,162101,3958,41.57,11929,7.801
Power Grid: The First Sparks,2011,2,6,60,60,12,3623,2.71,638,6963,106,49.96,896,6.763
Prêt-à-Porter,2010,2,4,90,90,10,5141,3.56,1514,10730,299,53.95,1225,7.282
Praga Caput Regni,2020,1,4,45,150,14,9907,3.73,3000,41053,759,27.47,1388,7.858
Primal: The Awakening,2024,1,4,60,90,14,1512,3.84,1751,8191,961,599.99,481,8.604
Primordial Soup,1997,3,4,90,90,12,4761,2.73,925,6515,107,114,1515,6.922
Princes of the Renaissance,2003,3,6,180,180,12,2377,3.5,713,3494,102,49.99,917,7.308
Project L,2020,1,4,20,40,8,11926,1.56,3009,69569,1337,34.99,1697,7.464
Puerto Rico,2002,3,5,90,150,12,73039,3.27,9942,203385,4442,49.1,13114,7.903
Pulsar 2849,2017,2,4,60,90,14,9479,3.33,2917,23312,446,59.99,1461,7.649
QE,2019,3,5,45,45,8,7243,1.54,2408,23435,302,44,1245,7.356
Quacks,2018,2,4,45,45,10,55795,1.94,12458,278155,3397,90,7316,7.808
Quarriors!,2011,2,4,30,30,14,14023,1.97,1837,57375,946,55.68,2984,6.731
Quarto,1991,2,2,20,20,8,8556,1.88,1267,53930,295,33,1825,6.9
Queendomino,2017,2,4,25,25,8,11520,2.07,1947,32014,412,27.89,1828,7.144
Quoridor,1997,2,4,15,15,8,9291,1.82,1513,41406,371,38.39,1978,6.648
Qwirkle,2006,2,4,45,45,6,21481,1.58,1745,99773,571,23.99,4319,6.776
Qwixx,2012,2,5,15,15,8,14754,1.11,898,192361,332,12.55,2528,6.874
Ra,1999,2,5,45,60,12,29298,2.31,8385,117900,1474,224.99,6873,7.674
Race for the Galaxy,2007,2,4,30,60,12,57711,2.99,11309,761848,4286,26.92,11398,7.739
Radlands,2021,2,2,20,40,14,12958,2.26,4867,52901,1391,24.95,2060,7.774
RAF: The Battle of Britain 1940,2009,1,2,120,900,0,1124,3.26,1177,2001,317,125.95,446,8.06
Raiders of Scythia,2020,1,4,60,80,12,6457,2.76,2535,18079,568,50.87,1092,7.711
Raiders of the North Sea,2015,2,4,60,80,12,25718,2.57,7225,82570,1907,81.77,3868,7.725
Railroad Ink Challenge: Shining Yellow Edition,2021,1,4,15,30,8,1897,2.04,397,9483,445,23.98,367,7.468
Railroad Ink: Blazing Red Edition,2018,1,6,20,30,8,7644,1.48,1096,44794,188,19.99,1065,7.067
Railroad Ink: Deep Blue Edition,2018,1,6,20,30,8,14198,1.45,3132,152404,542,22.21,1943,7.159
Railroad Revolution,2016,2,4,45,90,12,2874,3.24,706,7147,115,58.99,649,7.315
Railways of the World,2005,2,6,120,120,10,12495,3.02,3192,36836,540,149.99,3532,7.665
Raising Robots,2023,1,6,60,90,14,1667,3.21,1317,6686,516,49.95,384,7.694
Rajas of the Ganges,2017,2,4,45,75,12,15382,2.9,3934,63142,746,44.75,2219,7.725
Rajas of the Ganges: The Dice Charmers,2020,2,5,30,45,12,2845,2.28,679,22444,136,19,452,7.494
Rallyman: GT,2020,1,6,45,60,14,4499,2.21,1144,44493,442,36.04,839,7.124
Raptor,2015,2,2,30,30,9,10672,2.07,3600,32756,435,38.99,1830,7.225
Rats of Wistar,2023,1,4,90,90,13,3132,3.39,2054,15082,507,96.36,499,7.511
Ready Set Bet,2022,2,9,45,60,10,7595,1.31,2721,27654,539,38.93,1203,7.536
Rear Window,2022,3,5,40,40,13,1662,1.72,828,5949,140,28.13,359,7.384
Reavers of Midgard,2019,2,4,60,120,14,3186,2.92,998,7661,316,39.99,701,7.332
Rebel Princess,2023,3,6,30,40,8,2453,1.91,1164,12787,234,29.95,409,7.419
Rebirth,2024,2,4,45,60,10,3029,2,3447,12105,1070,48.98,644,7.756
Red Rising,2021,1,6,45,60,14,9078,2.32,1898,37212,739,49.95,1702,6.973
Red7,2014,2,4,5,30,9,16885,1.7,1580,127613,406,12.99,2834,6.863
Reef,2018,2,4,30,45,8,10202,1.82,2461,42039,384,34.97,1619,7.007
Regicide,2020,1,4,10,30,10,7421,1.96,2549,79856,793,17.49,1320,7.408
Reign of Cthulhu,2016,2,4,40,40,14,10777,2.16,2680,26663,794,39.99,1740,7.363
Renature,2020,2,4,45,60,8,2922,2.21,1397,9163,177,19.9,658,7.096
Res Arcana,2019,2,4,30,60,12,24524,2.65,6254,150864,1585,44.99,3546,7.625
Return to Dark Tower,2022,1,4,100,120,10,5345,2.65,3858,18619,1181,184.97,1119,8.222
Revive,2022,1,4,90,120,14,10959,3.45,6289,47081,1548,79.99,1438,8.098
Rex: Final Days of an Empire,2012,3,6,120,180,14,4554,3.29,1764,5233,384,274.81,1114,7.033
Rhino Hero,2011,2,5,5,15,5,11868,1.02,1385,71429,267,14.99,2271,6.895
Rhino Hero: Super Battle,2017,2,4,10,20,5,5740,1.09,1652,26293,193,29.99,1046,7.222
Ride the Rails,2020,3,5,45,60,12,2133,2.3,702,5331,117,20,446,7.136
Riftforce,2021,2,2,20,30,10,3247,2.11,957,13165,210,8,561,7.186
Rise of Tribes,2018,2,4,30,60,10,3248,2.2,1032,8483,416,50,873,7.077
Rising Sun,2018,3,5,90,120,14,22605,3.3,7745,36776,2272,82.99,3703,7.759
Risk Legacy,2011,3,5,60,60,13,8757,2.58,2717,29433,784,163.99,1896,7.35
Rivals for Catan,2010,2,2,45,60,10,8196,2.32,1031,18442,393,23.99,1591,6.937
River Valley Glassworks,2024,1,5,25,45,8,3729,1.51,1549,41873,420,74,701,7.293
Riverboat,2017,2,4,90,90,10,2872,2.94,727,7556,141,19.99,575,7.419
Robinson Crusoe: Adventures on the Cursed Island,2012,1,4,60,120,14,45682,3.83,13284,125987,4363,48.95,7656,7.731
Robo Rally,2016,2,6,20,120,12,3648,2.36,953,8290,150,49.95,696,6.949
Robot Quest Arena,2023,2,4,30,60,12,1487,2.15,1054,5494,255,59.95,345,7.697
Rock Hard: 1977,2024,2,5,45,90,14,2169,2.51,1739,6623,470,49.99,448,7.531
Roll for the Galaxy,2014,2,5,45,45,13,32983,2.78,8048,192506,1575,47.92,5052,7.574
Roll Player,2016,1,4,60,90,10,21833,2.42,5935,81095,1437,52.67,3425,7.428
Roll Player Adventures,2021,1,4,90,150,14,2211,2.36,2972,14715,656,98.99,583,8.14
Rolling Heights,2023,1,4,45,60,14,2109,2.56,1446,6912,301,64.94,415,7.471
Rolling Realms,2021,1,6,30,30,14,4701,1.98,1105,35412,334,25,833,7.128
Root,2018,2,4,60,90,14,59387,3.83,22851,214776,8055,47.2,8631,8.07
Royals,2014,2,5,60,60,10,2871,2.23,850,7047,122,39.95,653,7.18
Rumble Nation,2017,2,4,20,40,10,2283,1.82,1151,11421,206,39.99,458,7.405
Rummikub,1977,2,4,60,60,8,20730,1.71,638,129988,521,16.12,3902,6.507
Rune Stones,2019,2,4,60,60,10,2052,2.34,744,6215,107,44.7,411,7.245
Sabika,2022,1,4,60,120,14,2316,3.86,1206,7116,279,44.99,357,7.728
Saboteur,2004,3,10,30,30,8,35137,1.32,2421,99328,1027,12.99,5891,6.541
Sagrada,2017,1,4,30,45,14,45379,1.92,9482,295789,2320,35.75,6263,7.471
Sail,2023,2,2,20,20,11,3482,2.23,2565,20055,567,24,726,7.319
Salem 1692,2015,4,12,25,35,12,3023,2.1,1036,10588,308,24.99,729,7.111
Saltfjord,2024,1,4,45,90,14,1335,3.08,2592,4377,445,49.41,260,7.858
Salton Sea,2024,1,4,120,120,12,1691,3.84,983,4843,307,36,319,7.465
Santa Monica,2020,2,4,45,45,14,4792,2.14,1757,16248,298,93.07,823,7.142
Say Anything,2008,3,8,30,30,13,6352,1.09,1167,15834,149,23.25,1551,6.698
Scholars of the South Tigris,2023,1,4,60,90,12,3048,4.1,1453,12255,404,55,618,8.041
Schotten Totten,1999,2,2,20,20,8,13006,1.68,2519,83454,446,17.99,2304,7.365
Scotland Yard,1983,2,6,45,45,10,17720,1.94,1198,28696,459,64.99,3969,6.508
SCOUT,2019,2,5,20,20,9,23798,1.38,5174,167615,1425,22.99,2969,7.813
Scythe,2016,1,5,90,115,14,89793,3.45,25439,328201,10384,84,13170,8.115
Sea Salt & Paper,2022,2,4,30,45,8,17558,1.47,3524,252730,1425,13.81,2334,7.501
Seas of Strife,2015,3,6,45,45,10,2113,1.31,607,18900,102,16.97,480,7.331
Seasons,2012,2,4,60,60,14,26013,2.78,5563,104674,1374,69.92,4053,7.34
Secret Hitler,2016,5,10,45,45,13,32440,1.74,7666,140477,1979,45,4700,7.496
Sekigahara: The Unification of Japan,2011,2,2,180,180,14,6430,2.8,3508,13083,724,66.49,1624,7.995
Sentinels of the Multiverse: Definitive Edition,2022,1,5,30,60,8,1615,2.81,674,11259,270,79.99,376,8.16
Septima,2023,1,4,50,100,12,3223,3.68,2590,8253,970,20,795,7.376
SET,1988,1,20,30,30,6,13783,1.65,640,45623,314,12.99,3028,6.505
Set a Watch,2019,1,4,45,80,13,3834,2.42,1832,9953,817,29.71,824,7.251
Shackleton Base: A Journey to the Moon,2024,1,4,60,120,14,1949,3.78,2497,6379,474,82.3,351,8.041
Shadows of Brimstone: Swamps of Death,2014,1,4,90,180,12,2497,3.4,1031,5270,559,104.99,482,8.036
SHŌBU,2019,2,2,15,30,8,2163,1.88,1583,9146,185,34.95,503,7.481
Sheriff of Nottingham,2014,3,5,60,60,14,37146,1.66,6498,69922,1275,74.99,5596,7.054
Sheriff of Nottingham: 2nd Edition,2020,3,6,60,60,14,3644,1.69,1445,7414,217,44.95,573,7.223
Sherlock Holmes Consulting Detective: Carlton House & Queen's Park,2017,1,8,90,90,12,1516,2.26,1378,3847,118,55.98,357,7.752
Sherlock Holmes Consulting Detective: Jack the Ripper & West End Adventures,2016,1,8,60,120,10,6350,2.22,3275,13183,339,57.99,1141,7.562
Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,1981,1,8,60,120,13,22318,2.66,8199,42090,1416,58.88,4225,7.614
Shogi,1587,2,2,60,60,8,2021,3.79,563,5046,198,16.99,648,7.396
Sid Meier's Civilization: The Board Game,2010,2,4,120,240,13,16197,3.9,3106,23859,1332,160,2911,7.374
Sidereal Confluence,2017,4,9,120,180,14,5770,3.57,3471,12082,598,65.86,1336,7.772
Silver & Gold,2019,2,4,20,20,8,8692,1.2,1340,57868,301,9.99,1357,7.178
Similo,2019,2,8,10,15,7,7109,1.06,1246,134174,236,11.05,1942,6.815
Skulk Hollow,2019,2,2,40,40,8,2223,2.16,1736,5848,265,49.99,506,7.187
Skull King,2013,2,8,30,30,8,13300,1.72,2367,97916,718,19.99,2071,7.537
Sky Team,2023,2,2,20,20,10,23570,2.04,9275,235694,2895,30.19,2758,8.154
Skyjo,2015,2,8,15,45,8,5612,1.06,491,60116,197,19.95,717,6.664
Skymines,2022,1,4,75,150,12,3248,3.9,1973,8474,404,49.51,610,7.955
Skyrise,2024,2,4,30,90,14,2971,2.28,2499,8711,677,49.77,678,7.728
Slay the Spire: The Board Game,2024,1,4,30,150,12,8131,2.91,7264,45535,2239,113.59,1400,8.69
Sleeping Gods,2021,1,4,60,120,13,14625,3.25,16367,46850,3445,82.95,2803,8.13
Sleeping Gods: Distant Skies,2023,1,4,60,600,13,1555,2.96,2674,5796,655,84.93,548,8.437
Small World,2009,2,5,40,80,8,73732,2.35,10413,172895,4362,62.19,11344,7.197
Smart10,2017,2,8,20,120,10,3813,1.17,686,32054,123,21.99,408,7.463
Smartphone Inc.,2018,1,5,60,90,12,6985,2.79,2728,17506,351,53.82,1213,7.57
Smash Up,2012,2,4,45,45,12,28078,2.06,2488,76555,1546,27.06,4761,6.697
Smash Up: Science Fiction Double Feature,2014,2,2,30,45,12,4138,2.25,615,2616,120,25.29,555,7.255
Sniper Elite: The Board Game,2022,1,4,40,70,16,2156,2.42,2349,6861,345,45.15,492,7.765
Snowdonia,2012,1,5,30,90,10,5106,2.99,1342,18017,325,119.99,1320,7.314
So Clover!,2021,3,6,30,30,10,10605,1.12,2765,104849,399,24.99,1434,7.589
Sobek: 2 Players,2021,2,2,20,20,10,2819,1.93,1233,18294,201,34.94,467,7.159
Sons of Anarchy: Men of Mayhem,2014,3,4,90,90,13,3059,2.56,613,5126,222,44.99,780,7.231
Sorcerer City,2020,1,6,45,60,14,1631,2.28,718,5239,612,23,438,7.36
Space Alert,2008,1,5,30,30,12,16387,2.97,5455,66686,1069,99.95,3707,7.384
Space Base,2018,2,5,60,60,14,21861,2.13,5710,256649,1052,44.99,3277,7.539
Space Station Phoenix,2022,2,4,60,120,14,1744,3.05,1108,6194,160,75,354,7.373
SpaceCorp: 2025-2300AD,2018,1,4,60,240,12,2904,2.99,1787,8767,370,71.44,771,7.677
Spicy,2020,2,6,15,20,10,6900,1.33,1644,53075,379,17.99,921,7.153
Spirit Island,2017,1,4,90,120,13,58873,4.08,23844,390307,7768,64.99,9061,8.339
Splendor,2014,2,4,30,30,10,86491,1.78,10638,641644,4221,31.99,12219,7.419
Splendor Duel,2022,2,2,30,30,10,16392,2.01,4024,100413,1138,32.99,1950,7.892
Spots,2022,1,4,25,30,10,6296,1.3,2135,57795,429,21.99,970,7.15
Spyfall,2014,3,8,15,15,13,22064,1.23,3021,109223,508,33.53,3593,6.75
Spyfall 2,2016,3,12,15,15,13,3418,1.22,900,11264,88,29.68,610,6.805
Spyrium,2013,2,5,75,75,12,6441,2.9,1040,15095,205,99.99,1423,7.041
Star Realms,2014,2,2,20,20,12,46891,1.92,4965,468764,2807,17.47,7338,7.555
Star Realms: Colony Wars,2015,2,2,20,20,12,8608,1.9,880,32441,315,17.95,1188,7.788
Star Realms: Frontiers,2018,1,4,20,45,12,5865,1.89,1222,41001,540,23.94,1032,7.921
Star Trek: Fleet Captains,2011,2,4,90,120,14,3382,3.06,1694,6000,541,129.99,1005,7.467
Star Trek: Frontiers,2016,1,4,60,240,14,1945,4.34,2026,4217,464,80,602,7.838
Star Wars: Armada,2015,2,2,120,120,14,5632,3.16,1750,14200,866,120.24,1021,7.817
Star Wars: Destiny,2016,2,2,30,30,10,5591,2.45,565,69883,440,16.99,897,7.421
Star Wars: Imperial Assault,2014,2,5,60,120,14,25476,3.3,7448,96859,3397,89.97,3933,7.958
Star Wars: Jabba's Palace A Love Letter Game,2022,2,6,20,20,10,3277,1.21,442,17897,135,14.99,474,7.211
Star Wars: Legion,2018,2,2,120,180,14,2011,3.51,714,8753,370,149.99,349,8.006
Star Wars: Outer Rim,2019,1,4,120,180,14,14222,2.58,4604,37871,1422,80,2208,7.74
Star Wars: Rebellion,2016,2,4,180,240,14,34995,3.75,14452,55353,3801,109.99,5244,8.418
Star Wars: The Card Game,2012,2,2,30,60,10,5872,2.97,859,35114,833,74.98,1296,7.176
Star Wars: The Clone Wars,2022,1,5,60,60,14,4511,2.17,1474,15272,465,94.75,700,7.55
Star Wars: The Deckbuilding Game,2023,2,2,30,90,12,9388,2.04,2538,48411,991,30.39,1338,7.834
Star Wars: Unlock!,2020,1,6,60,60,10,3308,1.88,523,11284,73,23.77,651,7.058
Star Wars: X-Wing (Second Edition),2018,2,2,30,45,14,3283,3.09,530,23236,334,67.99,508,8.026
Star Wars: X-Wing Miniatures Game,2012,2,2,30,45,14,25354,2.5,2259,105223,3383,59.99,4139,7.626
Star Wars: X-Wing Miniatures Game  The Force Awakens Core Set,2015,2,2,30,45,14,3189,2.85,259,5547,136,34.99,488,7.719
Stardew Valley: The Board Game,2021,1,4,45,200,13,4301,2.76,3588,10781,880,74.16,936,7.412
Startups,2017,3,7,20,20,10,5842,1.59,2030,28923,305,19.27,964,7.189
Steam,2009,3,6,90,90,10,10401,3.45,2204,21440,483,54.99,2382,7.545
Steam Park,2013,2,4,60,60,10,6090,2.12,1255,11775,192,42.99,1249,6.82
Stella: Dixit Universe,2021,3,6,30,30,8,4281,1.16,1444,22921,227,31.9,691,7.294
Stone Age,2008,2,4,60,90,10,54761,2.46,10759,233640,2736,54.99,9033,7.516
Stonespine Architects,2024,1,5,45,60,10,2327,2.1,1100,15377,258,49.95,433,7.439
Stroganov,2021,1,4,90,90,12,2317,3.31,946,6250,643,72.95,622,7.282
Struggle of Empires,2004,2,7,180,240,13,4368,3.59,1345,6745,288,57.77,1585,7.534
Stuffed Fables,2018,2,4,60,90,7,7962,2.47,4799,27402,864,79.99,1598,7.424
Suburbia,2012,1,4,60,90,8,26066,2.76,6373,78614,1168,69.23,4534,7.464
Summer Camp,2021,2,4,30,45,10,2373,1.82,861,7566,168,31.81,509,7.113
Summoner Wars,2009,2,4,30,60,9,6735,2.34,1654,26640,682,90,1263,7.223
Summoner Wars (Second Edition),2021,2,2,40,60,9,4482,2.57,2698,21377,544,44.95,833,8.069
Summoner Wars: Master Set,2011,2,4,30,60,9,11100,2.52,2230,32384,753,90,2019,7.473
Super Fantasy Brawl,2022,2,4,30,40,14,2758,2.26,801,13411,455,50.06,559,7.561
Super-Skill Pinball: 4-Cade,2020,1,4,30,30,12,3364,2.2,1003,15380,170,26.31,675,7.048
Survive The Island,2024,2,5,45,45,8,2214,1.45,1051,10236,279,28.99,320,7.427
Sushi Go Party!,2016,2,8,20,20,8,38329,1.31,6268,161111,1456,21.99,5144,7.378
Sushi Go!,2013,2,5,15,15,8,50322,1.16,3078,266414,1488,11.99,7218,6.989
Sword & Sorcery,2017,1,5,60,90,12,5271,4.12,3952,17921,2898,73.46,1260,7.874
Sylvion,2015,1,2,30,30,10,3322,2.07,1398,13731,250,25.99,897,7.035
T.I.M.E Stories,2015,2,4,90,90,12,28395,2.59,6894,67600,1725,52,4396,7.359
Tabannusi: Builders of Ur,2021,1,4,120,120,14,1900,3.91,760,4637,193,34.95,416,7.288
Tainted Grail: The Fall of Avalon,2019,1,4,60,120,14,13542,3.36,6579,66946,3053,102.25,2921,8.046
Tajemnicze Domostwo,2013,2,7,30,60,8,5512,1.83,1021,20729,285,43.99,983,7.085
Take 5,1994,2,10,45,45,8,31365,1.19,2218,295052,709,13.5,6155,6.98
Tamashii: Chronicle of Ascend,2023,1,4,60,180,13,1202,3,1131,4318,388,84.18,359,8.091
Tapestry,2019,1,5,90,120,12,22023,2.96,7183,121526,2026,97.19,3559,7.438
Targi,2012,2,2,60,60,12,25595,2.34,6160,88847,1058,19.75,4120,7.596
Tekhenu: Obelisk of the Sun,2020,1,4,60,120,14,6332,4.07,2173,19365,579,72.99,1079,7.675
Telestrations,2009,4,8,30,30,12,19806,1.07,2540,79947,549,31.99,3175,7.378
Telestrations: 12 Player Party Pack,2011,4,12,30,30,12,3307,1.06,631,11656,102,44.99,582,7.737
Tenpenny Parks,2022,1,4,45,75,10,1692,2.14,1360,5085,218,59.95,316,7.407
Teotihuacan: City of Gods,2018,1,4,90,120,14,21364,3.77,5720,80807,1445,56.97,3071,7.845
Terra Mystica,2012,2,5,60,150,12,49937,3.98,14169,170491,4212,79.7,7196,8.039
Terracotta Army,2022,1,4,90,120,14,2062,3.35,969,4427,245,61.97,411,7.402
Terraforming Mars,2016,1,5,120,120,12,107994,3.27,25730,740148,11977,79.99,15194,8.347
Terraforming Mars: Ares Expedition,2021,1,4,45,60,14,19857,2.92,3459,86492,1238,48.09,3180,7.645
That's Not a Hat,2023,3,8,15,15,8,5374,1.06,1126,44008,251,9.99,770,7.029
That's Pretty Clever!,2018,1,4,30,30,8,26634,1.86,3268,346543,936,19.99,3617,7.559
The 7th Citadel,2024,1,4,5,1000,14,2127,2.98,2265,11816,971,224.99,904,8.44
The Adventures of Robin Hood,2021,2,4,60,60,10,4787,1.83,2484,24018,472,36.08,875,7.447
The Battle of Five Armies,2014,2,2,90,240,13,3118,3.59,2022,4534,472,76.57,745,7.835
The Big Book of Madness,2015,2,5,60,90,12,7113,2.68,1770,16702,334,99.95,1415,6.875
The Bottle Imp,1995,2,4,30,30,10,4116,1.87,615,12549,94,18.95,1379,6.73
The Captain Is Dead,2014,2,7,60,90,14,3548,2.4,2029,9909,345,48.47,900,7.053
The Castles of Burgundy,2011,2,4,30,90,12,66796,2.97,13425,410557,4643,399.99,10133,8.152
The Castles of Burgundy: The Dice Game,2017,1,5,15,30,10,4303,1.89,815,31210,169,59.95,905,6.863
The Castles of Tuscany,2020,2,4,45,60,10,3645,2.23,1251,14065,228,25,727,7.21
The Colonists,2016,1,4,30,360,12,4400,4.06,1595,10906,303,34.99,1051,7.538
The Crew: Mission Deep Sea,2021,2,5,20,20,10,22685,2.04,6384,272858,1451,14.95,2882,8.081
The Crew: The Quest for Planet Nine,2019,2,5,20,20,10,46164,1.96,5952,620042,1935,15.95,6071,7.771
The Fellowship of the Ring: Trick-Taking Game,2024,1,4,20,20,10,4929,1.95,2978,85577,1077,26.99,797,7.973
The Fox Experiment,2023,1,4,60,60,14,3027,2.57,1918,9160,410,58.73,657,7.331
The Fox in the Forest,2017,2,2,30,30,10,17421,1.59,3795,58310,715,15.99,3112,7.068
The Fox in the Forest Duet,2020,2,2,30,30,10,4113,1.76,1437,12863,196,18.99,800,6.979
The Gallerist,2015,1,4,60,150,13,15837,4.22,6646,38541,1389,103.99,2582,8.012
The Game,2015,1,5,20,20,8,13232,1.24,1183,113096,366,17.95,2234,6.715
The Gang,2024,3,6,20,20,10,4805,1.59,1859,56132,408,14.95,760,7.592
The Godfather: Corleone's Empire,2017,2,5,60,90,14,8231,2.64,2155,17342,531,119.99,1353,7.529
The Golden Ages,2014,2,4,60,90,12,2471,2.89,627,5868,120,39.25,649,7.246
The Great Split,2022,2,7,45,45,8,2179,2,862,9760,156,48.24,359,7.001
The Great Wall,2021,1,4,120,180,13,4849,3.93,2218,10810,733,109.29,1089,7.818
The Grizzled,2015,2,5,30,30,14,15301,1.98,2859,61702,635,13.73,2874,7.12
The Guild of Merchant Explorers,2022,1,4,45,45,14,7003,2.05,3588,50709,599,33.24,1090,7.648
The Hunters: German U-Boats at War. 1939-43,2013,1,2,120,120,12,1830,2.54,1098,5222,569,129.95,664,7.736
The Initiative,2021,1,4,30,60,8,2492,2.02,2988,21766,372,41.96,516,7.533
The Isle of Cats,2019,1,4,60,90,8,24026,2.36,7471,116983,1905,45.33,3717,7.642
The Isle of Cats: Explore & Draw,2022,1,6,30,45,10,1890,2.21,613,10622,105,23.07,363,7.366
The King Is Dead: Second Edition,2020,2,4,30,45,14,8024,2.16,2948,22460,559,35.25,1304,7.608
The Lord of the Rings: Duel for Middle-earth,2024,2,2,30,45,10,12887,2.06,5816,50401,2304,39.99,1720,8.375
The Lord of the Rings: Journeys in Middle-Earth,2019,1,5,60,120,14,17742,2.69,7957,114541,2567,104.98,2466,7.898
The Lord of the Rings: The Card Game,2011,1,2,30,60,13,24770,3.22,3879,285809,3825,59.99,4919,7.661
The Lord of the Rings: The Card Game  Revised Core Set,2022,1,4,30,90,14,3302,3.56,1490,40862,700,59.99,494,8.457
The Lost Expedition,2017,1,5,30,50,14,7715,1.87,2424,32774,599,21,1624,7.038
The Manhattan Project: Energy Empire,2016,1,5,60,120,13,6450,3.03,2505,19926,661,42.95,1211,7.732
The Mind,2018,2,4,20,20,8,35217,1.08,3337,200428,1064,13.49,4912,6.734
The Night Cage,2021,1,5,40,60,14,2978,2.14,2364,7900,521,73.99,589,7.116
The Pillars of the Earth,2006,2,4,90,120,12,18295,2.81,3521,32813,602,9.99,3915,7.26
The Princes of Florence,2000,1,5,75,100,12,15862,3.24,2494,30778,427,48.72,4145,7.498
The Quest for El Dorado: The Golden Temples,2019,2,4,30,60,10,1971,2.03,1001,5226,118,31.74,423,7.639
The Reckoners,2018,1,6,60,100,13,2220,2.71,1522,7300,493,118.99,513,7.656
The Red Cathedral,2020,1,4,80,80,10,14471,2.82,3063,50510,1004,33.87,1943,7.674
The Red Dragon Inn 2,2008,2,4,45,45,13,3328,1.79,599,4094,127,32.44,598,6.917
The Red Dragon Inn 2,2008,2,4,45,45,13,3328,1.79,601,4094,127,32.44,598,6.917
The Resistance,2009,5,10,30,30,13,42043,1.59,4349,169825,1845,24.99,7117,7.2
The Resistance: Avalon,2012,5,10,30,30,13,35489,1.74,5099,146302,1785,24.99,5212,7.5
