track_name,track_album_release_date,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,track_popularity
Anticipation,1975,0.61,0.297,-14.956,0.0304,0.838,9.04E-06,0.107,0.543,99.96,201707,30
How Sweet It Is (To Be Loved by You),1975,0.764,0.567,-13.361,0.0412,0.252,0,0.104,0.79,108.805,214133,64
The Devil Went Down To Georgia,1975,0.55,0.563,-9.659,0.0603,0.205,2.81E-05,0.0638,0.948,134.559,214600,2
Slow Ride - 45 Version,1975,0.493,0.586,-13.916,0.046,0.0202,0.00106,0.102,0.656,113.618,232533,64
Haven't Got Time for the Pain,1975,0.551,0.362,-15.089,0.0297,0.63,0,0.0698,0.632,105.848,234093,34
You Sexy Thing,1975,0.791,0.734,-5.464,0.0629,0.522,0.00165,0.167,0.962,105.854,244920,71
Dream Weaver,1975,0.266,0.389,-13.682,0.0305,0.244,1.42E-06,0.0688,0.148,140.243,256173,56
At Seventeen,1975,0.599,0.164,-23.035,0.0475,0.888,6.12E-04,0.121,0.317,125.388,280493,5
I Don't Want to Talk About It - 2008 Remaster,1975,0.472,0.373,-12.98,0.0262,0.872,0.206,0.147,0.459,135.193,288267,66
Love Rollercoaster,1975,0.612,0.817,-10.13,0.0741,0.196,0,0.055,0.467,115.132,290160,4
One of These Nights - 2013 Remaster,1975,0.655,0.606,-10.385,0.0285,0.0603,0.0789,0.0757,0.765,110.061,291686,68
Crazy On You,1975,0.427,0.459,-12.442,0.0332,0.116,1.03E-04,0.132,0.383,129.878,293440,65
Feel Like Makin' Love - 2015 Remaster,1975,0.543,0.529,-9.717,0.0301,0.326,0.00269,0.709,0.746,85.126,313840,68
Feel Like Makin' Love (Remastered Album Version),1975,0.56,0.543,-8.433,0.0288,0.233,1.79E-04,0.335,0.661,85.119,314093,8
Welcome to My Nightmare,1975,0.438,0.717,-13.226,0.05,0.305,0.00122,0.07,0.593,112.408,320640,45
Magic Man,1975,0.435,0.444,-12.816,0.0336,0.159,7.05E-04,0.457,0.734,103.818,328360,58
I'm Not In Love,1975,0.404,0.523,-15.7,0.0575,0.685,4.98E-04,0.282,0.164,133.738,366640,70
Shooting Star (Remastered Album Version),1975,0.548,0.642,-7.998,0.029,0.109,2.56E-06,0.046,0.599,83.567,376360,1
I Got The... - 2006 Remaster,1975,0.476,0.604,-10.85,0.117,0.11,4.15E-05,0.134,0.583,87.304,395373,53
Slow Ride,1975,0.449,0.642,-10.527,0.0487,0.00608,0.00707,0.175,0.586,113.638,494533,55
Stranglehold,1975,0.484,0.711,-7.784,0.0331,0.0183,0.173,0.0941,0.49,148.189,503067,66
Don't Believe A Word,1976,0.465,0.66,-10.019,0.04,0.0496,4.05E-04,0.155,0.899,139.969,137867,0
Cherry Bomb,1976,0.501,0.813,-8.192,0.0639,0.0455,4.75E-05,0.131,0.495,136.59,138707,65
Green River,1976,0.664,0.762,-9.516,0.0279,0.00725,3.68E-04,0.083,0.97,141.255,154187,0
I'd Really Love to See You Tonight,1976,0.62,0.556,-12.044,0.0336,0.184,0,0.301,0.592,119.172,159107,61
Up Around The Bend,1976,0.592,0.831,-7.502,0.0358,0.0877,0.602,0.259,0.792,130.194,162493,0
True Confessions,1976,0.608,0.87,-7.813,0.0386,0.0377,2.49E-05,0.0806,0.831,120.845,176760,0
Rock & Roll Band,1976,0.487,0.838,-6.153,0.0433,0.00343,2.92E-05,0.377,0.655,136.743,180347,55
What Can I Say,1976,0.724,0.598,-6.522,0.0325,0.116,0.00725,0.0556,0.786,114.987,180693,52
Proud Mary,1976,0.686,0.605,-8.564,0.03,0.0352,2.39E-04,0.0702,0.64,120.682,188960,0
Lodi,1976,0.735,0.655,-8.674,0.0275,0.0888,1.28E-04,0.0911,0.83,126.705,191400,0
Wham Bam Shang-A-Lang,1976,0.65,0.759,-4.932,0.0355,0.353,0,0.155,0.943,121.454,212840,66
Dancing Queen,1976,0.539,0.884,-6.53,0.0403,0.382,0.00166,0.76,0.752,100.812,230693,72
Still the One,1976,0.565,0.615,-10.793,0.0384,0.0487,1.93E-06,0.16,0.591,143.928,234040,58
Still the One - 45 Version,1976,0.539,0.62,-10.611,0.0449,0.13,0,0.0763,0.568,144.363,235480,27
Tonight's the Night (Gonna Be Alright),1976,0.517,0.717,-7.786,0.0541,0.425,7.33E-05,0.164,0.767,136.731,236173,38
Tonight's the Night (Gonna Be Alright) - 2009 Remaster,1976,0.55,0.514,-12.617,0.0523,0.336,0.125,0.382,0.724,136.542,237120,55
Jailbreak,1976,0.616,0.761,-9.199,0.126,0.196,0.0025,0.374,0.708,145.074,240600,60
When I Need You - Remastered,1976,0.597,0.342,-8.167,0.0299,0.389,3.04E-05,0.114,0.11,109.609,253227,53
Keep It Warm,1976,0.707,0.405,-9.044,0.0261,0.327,0,0.144,0.518,106.638,256533,42
Smokin',1976,0.197,0.798,-7.334,0.0656,5.45E-04,0.414,0.187,0.525,175.068,261387,62
Lonely Boy,1976,0.588,0.598,-13.288,0.0296,0.0386,5.83E-05,0.107,0.866,123.724,264893,52
The Boys Are Back In Town,1976,0.445,0.706,-9.803,0.0461,0.234,2.52E-04,0.205,0.768,80.823,266720,74
Stand Tall,1976,0.463,0.396,-10.128,0.0304,0.0243,7.23E-05,0.173,0.365,80.753,272293,39
Fly Like An Eagle,1976,0.561,0.754,-12.769,0.112,0.61,0.0194,0.328,0.642,100.08,282693,2
More Than a Feeling,1976,0.377,0.682,-8.039,0.0299,8.94E-04,0.00217,0.0504,0.288,108.736,285133,78
Running Out Of Lies,1976,0.612,0.462,-9.519,0.0436,0.7,2.01E-05,0.643,0.695,79.607,292000,36
Pissing In a River,1976,0.357,0.559,-7.464,0.0321,0.509,0,0.0565,0.173,112.889,292667,40
Play That Funky Music,1976,0.814,0.672,-12.068,0.0619,0.0435,0,0.061,0.933,109.394,300000,67
Peace of Mind,1976,0.421,0.677,-6.183,0.0343,9.89E-04,9.65E-05,0.211,0.683,127.67,303587,12
(Don't Fear) The Reaper,1976,0.368,0.928,-8.369,0.0593,0.00125,0.00111,0.301,0.532,141.175,308440,7
Lowdown - Edit,1976,0.662,0.788,-5.544,0.0635,0.0812,0.141,0.0351,0.929,116.499,315640,60
Carry on Wayward Son,1976,0.483,0.786,-5.735,0.0319,0.00316,8.86E-05,0.446,0.793,126.748,323000,74
Petit Sekou,1976,0.495,0.744,-5.372,0.0481,0.173,0.9,0.126,0.652,81.069,355250,5
Hotel California - Live at The Los Angeles Forum. 10/20-22/76,1976,0.427,0.665,-8.515,0.0405,0.0145,0.00242,0.699,0.442,142.702,409520,16
Foreplay / Long Time,1976,0.436,0.657,-8.868,0.0541,0.00975,0.00748,0.0931,0.21,118.693,467640,11
Your Smiling Face,1977,0.683,0.515,-10.932,0.0592,0.137,6.66E-06,0.0816,0.767,88.827,165400,60
She's Always a Woman,1977,0.292,0.324,-11.996,0.0346,0.797,4.73E-04,0.12,0.384,176.631,201373,71
Old Man - 2017 Remaster,1977,0.709,0.278,-13.011,0.0353,0.46,0.00719,0.098,0.458,141.268,202400,50
Dust in the Wind,1977,0.475,0.322,-10.687,0.0283,0.367,5.60E-04,0.11,0.387,93.503,206267,77
Godzilla,1977,0.373,0.869,-7.719,0.0554,0.164,7.76E-06,0.605,0.696,184.024,221400,62
Wonderous Stories - 2013 Remaster,1977,0.382,0.605,-9.351,0.0292,0.196,0,0.0994,0.147,141.065,229160,38
Only the Good Die Young,1977,0.579,0.872,-6.126,0.159,0.159,0,0.0935,0.761,76.214,235560,64
Two Tickets To Paradise,1977,0.61,0.838,-8.616,0.0301,0.102,6.14E-05,0.111,0.693,129.583,237000,45
You're in My Heart (The Final Acclaim),1977,0.553,0.328,-10.797,0.0341,0.643,0,0.109,0.345,103.472,270960,50
Mr. Blue Sky,1977,0.388,0.338,-10.054,0.0328,0.652,3.72E-06,0.248,0.477,177.784,303373,79
Hot Legs,1977,0.707,0.906,-5.771,0.0309,0.0368,9.68E-04,0.661,0.97,112.837,315293,53
I Was Only Joking,1977,0.68,0.462,-9.289,0.0336,0.583,3.30E-05,0.096,0.415,106.2,367400,49
Heroes - 2017 Remaster,1977,0.49,0.758,-6.491,0.0297,6.71E-04,0.484,0.092,0.435,112.114,371413,75
Slow Ride - Live Version,1977,0.324,0.897,-10.134,0.0788,2.00E-04,0.158,0.963,0.39,115.168,501240,18
Paradise By the Dashboard Light,1977,0.326,0.872,-7.602,0.122,0.214,0,0.461,0.492,173.381,508333,50
I Wanna Be Sedated,1978,0.56,0.965,-2.341,0.0409,0.121,6.23E-06,0.169,0.964,162.825,149787,64
Goodbye Girl,1978,0.467,0.255,-15.963,0.0372,0.605,3.10E-04,0.273,0.243,120.174,168867,58
Sharing The Night Together,1978,0.619,0.686,-9.014,0.0615,0.644,0,0.0996,0.757,76.923,174533,63
Lotta Love,1978,0.646,0.406,-15.616,0.0264,0.159,0.00114,0.27,0.895,113.708,191773,49
The Creeper - Bonus Track,1978,0.592,0.7,-11.301,0.0362,0.184,3.38E-05,0.142,0.844,135.447,198093,33
Grease - 2007 Remaster,1978,0.82,0.464,-8.45,0.0481,0.156,0,0.101,0.872,109.374,207307,63
Stay Free - Remastered,1978,0.517,0.858,-6.03,0.0671,0.115,2.44E-04,0.121,0.67,150.644,220587,45
What a Fool Believes,1978,0.758,0.378,-15.308,0.0449,0.284,0,0.049,0.985,120.736,223867,68
Double Vision,1978,0.682,0.711,-7.637,0.0325,0.179,9.53E-05,0.126,0.766,129.546,224533,52
You Send Me,1978,0.562,0.258,-16.628,0.0321,0.847,0.00371,0.0501,0.604,81.942,236880,33
Ghostbusters,1978,0.779,0.717,-9.7,0.0335,0.0125,0.0536,0.355,0.789,115.384,240800,64
Only the Young,1978,0.334,0.839,-6.2,0.04,0.0127,0,0.311,0.504,72.479,245960,1
Reminiscing - Remastered,1978,0.54,0.465,-11.259,0.0302,0.652,0.00544,0.132,0.341,94.731,253080,62
Long Live Rock N Roll,1978,0.345,0.924,-7.767,0.0553,0.00376,0,0.122,0.434,142.378,261733,54
Right Down the Line,1978,0.783,0.322,-15.091,0.0343,0.213,0.00243,0.114,0.77,128.226,267773,65
Hot Blooded,1978,0.705,0.806,-4.83,0.0814,0.229,0,0.0676,0.763,117.945,268693,61
How Much I Feel,1978,0.667,0.513,-7.96,0.026,0.305,0,0.0851,0.518,95.306,283400,58
Y.M.C.A.,1978,0.75,0.785,-10.926,0.0591,0.0278,0,0.0601,0.752,126.361,286667,61
Running on Empty - 45 Version,1978,0.541,0.711,-13.492,0.0383,0.0635,0.0201,0.719,0.588,136.58,291893,64
Free My People,1978,0.601,0.711,-10.698,0.106,0.136,0.00187,0.249,0.929,119.385,292680,1
This Island Earth,1978,0.549,0.502,-7.264,0.0263,0.727,0.0649,0.371,0.164,108.839,295933,15
Shake Your Groove Thing,1978,0.867,0.73,-6.605,0.0496,0.45,0.0143,0.0817,0.917,132.57,346133,10
Metropolis - 2009 Remastered Version,1978,0.564,0.795,-9.391,0.0311,0.00118,0.781,0.137,0.49,122.719,361107,36
Baker Street,1978,0.497,0.349,-14,0.0297,0.0929,0.028,0.259,0.421,113.762,365627,69
It Looks Like Love,1978,0.883,0.333,-17.848,0.053,0.00799,0.804,0.257,0.964,121.099,382015,41
Time Passages,1978,0.694,0.649,-7.176,0.0281,0.357,0.00258,0.0868,0.603,111.98,403040,46
Majestic,1979,0.259,0.558,-9.042,0.0339,0.186,0.923,0.117,0.0826,71.598,75533,25
Dance The Night Away,1979,0.526,0.891,-4.508,0.0732,0.0672,0,0.0472,0.689,129.001,189667,2
Train in Vain - Remastered,1979,0.761,0.722,-8.712,0.0428,0.0922,3.66E-04,0.132,0.966,122.764,194667,64
You Take My Breath Away,1979,0.324,0.6,-7.681,0.0353,0.465,2.03E-05,0.36,0.281,141.418,197107,0
London Calling - Remastered,1979,0.651,0.801,-7.34,0.0513,0.123,0,0.0825,0.776,133.763,200480,73
Brujeria,1979,0.795,0.623,-5.375,0.0461,0.565,1.09E-05,0.062,0.96,93.03,205813,55
Just Got Paid - Single Version,1979,0.794,0.783,-6.4,0.0804,0.0157,2.75E-05,0.109,0.784,117.112,212467,48
Metal,1979,0.651,0.533,-9.81,0.114,0.144,1.64E-05,0.0884,0.462,127.84,212933,44
Train. Train,1979,0.609,0.807,-8.286,0.0559,0.015,0.00123,0.37,0.754,121.768,216693,54
Head Games,1979,0.678,0.693,-6.133,0.0249,0.0139,0,0.0596,0.623,107.415,217707,48
Turn To Stone,1979,0.538,0.534,-15.274,0.037,0.0307,3.37E-06,0.59,0.583,140.985,227640,0
Spirit in the Sky,1979,0.601,0.643,-5.828,0.0314,0.112,0.00209,0.088,0.552,128.262,239600,68
Ride Like the Wind,1979,0.669,0.707,-13.66,0.0478,0.347,7.16E-04,0.0997,0.806,124.335,275507,64
Rock Lobster - 45 Version,1979,0.554,0.815,-12.481,0.0409,0.0111,0.0486,0.0511,0.6,90.889,295333,46
Flirtin' with Disaster,1979,0.273,0.821,-6.262,0.0433,0.00153,0.0157,0.18,0.739,179.882,299200,58
Are 'Friends' Electric?,1979,0.423,0.748,-9.832,0.0387,0.03,0.221,0.169,0.428,93.977,325200,51
Butterfly (with Herbie Hancock),1979,0.544,0.23,-18.285,0.0427,0.511,0.39,0.291,0.539,107.09,372307,20
I Thought It Was You (with Herbie Hancock),1979,0.614,0.761,-14.346,0.0476,0.0856,0.618,0.063,0.881,122.889,428427,37
"I Feel Love - 12"" Version",1979,0.692,0.79,-14.065,0.0416,0.074,0.711,0.101,0.96,128.13,495187,5
Isolation - 2007 Remaster,1980,0.544,0.783,-8.12,0.054,0.048,0.00734,0.0917,0.697,151.522,175093,52
You Make My Dreams,1980,0.751,0.501,-12.151,0.0552,0.234,0.112,0.0467,0.902,167.058,190627,77
Back On My Feet Again,1980,0.521,0.678,-6.811,0.0354,0.0811,0,0.118,0.504,121.848,198733,0
Any Way You Want It,1980,0.529,0.932,-7.501,0.0488,0.00251,0.00109,0.136,0.571,138.158,201693,71
Living After Midnight,1980,0.61,0.824,-6.046,0.0534,0.0136,1.75E-06,0.0606,0.819,134.992,210133,63
Echo Beach,1980,0.54,0.746,-9.412,0.045,0.13,8.73E-06,0.0976,0.826,163.809,219867,56
Take It On the Run,1980,0.371,0.758,-5.679,0.036,0.0958,0,0.116,0.452,77.81,239680,65
Stormbringer - 2009 remix,1980,0.32,0.908,-7.645,0.0859,0.0161,4.16E-06,0.106,0.624,177.773,246720,22
Saigon - 2002 Digital Remaster,1980,0.539,0.569,-13.207,0.0324,0.033,0.227,0.0353,0.808,148.691,264933,16
Kiss on My List,1980,0.815,0.741,-9.478,0.031,0.434,0.111,0.0689,0.965,121.221,264987,61
Hey Nineteen,1980,0.952,0.301,-13.936,0.0612,0.0126,9.22E-04,0.0387,0.728,119.629,307400,60
